CellTowerId,DateTime,DbmSignalStrength,Direction,HandsetMake,HandsetModel,Jitter,Latency,Latitude,LocationAccuracy,Longitude,Loss,NetworkGeneration,NetworkOperatorMCCMNC,NetworkOperatorName,NetworkTechnology,SimOperatorMCCMNC,SimOperatorName
LTE:11698689:185:310:260:22592,2018-10-03 21:32:36+00:00,-106.0,Upload,samsung,SM-G950U1,4.998749732971191,120.25,40.7579589,116.0999984741211,-73.9877027,0.0,4G,310260,T-Mobile,LTE,310260,
LTE:11698689:185:310:260:22592,2018-10-03 21:32:39+00:00,-106.0,Download,samsung,SM-G950U1,11.894851684570312,102.75,40.7579589,116.0999984741211,-73.9877027,0.0,4G,310260,T-Mobile,LTE,310260,
LTE:11698689:185:310:260:22592,2018-10-03 14:26:28+00:00,-115.0,Upload,samsung,SM-G950U1,9.403590202331543,114.3499984741211,40.7578171,20.14699935913086,-73.9876902,0.0,4G,310260,T-Mobile,LTE,310260,
LTE:11698689:185:310:260:22592,2018-10-03 14:26:30+00:00,-115.0,Download,samsung,SM-G950U1,21.83180046081543,70.1500015258789,40.7578171,20.14699935913086,-73.9876902,0.0,4G,310260,T-Mobile,LTE,310260,
LTE:11698689:185:310:260:22592,2018-10-03 15:23:40+00:00,-118.0,Download,samsung,SM-G950U1,3.462657928466797,109.0999984741211,40.7578192,19.548999786376953,-73.9876873,0.0,4G,310260,T-Mobile,LTE,310260,
LTE:11698689:185:310:260:22592,2018-10-03 15:23:41+00:00,-118.0,Upload,samsung,SM-G950U1,7.323080062866211,128.35000610351562,40.7578192,19.548999786376953,-73.9876873,0.0,4G,310260,T-Mobile,LTE,310260,
LTE:11698689:185:310:260:22592,2018-10-03 15:24:14+00:00,-114.0,Upload,samsung,SM-G950U1,51.17421340942383,215.0,40.7578161,20.0,-73.9876866,0.0,4G,310260,T-Mobile,LTE,310260,
LTE:11698689:185:310:260:22592,2018-10-03 15:24:21+00:00,-114.0,Download,samsung,SM-G950U1,5.503634929656982,130.89999389648438,40.7578161,20.0,-73.9876866,0.0,4G,310260,T-Mobile,LTE,310260,
LTE:11698689:185:310:260:22592,2018-10-02 15:32:00+00:00,-91.0,Upload,samsung,SM-G950U1,6.567152976989746,135.14999389648438,40.7581169,500.0,-73.9879614,0.0,4G,310260,T-Mobile,LTE,310260,
LTE:11698689:185:310:260:22592,2018-10-02 15:32:02+00:00,-91.0,Download,samsung,SM-G950U1,5.731273651123047,91.55000305175781,40.7581169,500.0,-73.9879614,0.0,4G,310260,T-Mobile,LTE,310260,
LTE:11698689:185:310:260:22592,2018-10-02 18:20:23+00:00,-88.0,Upload,samsung,SM-G950U1,5.435761451721191,105.05000305175781,40.75804485,102.91200256347656,-73.9873926,0.0,4G,310260,T-Mobile,LTE,310260,
LTE:11698689:185:310:260:22592,2018-10-02 18:20:26+00:00,-88.0,Download,samsung,SM-G950U1,2.8191311359405518,113.05000305175781,40.75804485,102.91200256347656,-73.9873926,0.0,4G,310260,T-Mobile,LTE,310260,
LTE:11698694:26:310:260:22592,2018-10-02 21:53:21+00:00,-118.0,Upload,LGE,LM-X210(G),6.402343273162842,140.89999389648438,40.7587423,22.093000411987305,-73.988625,0.0,4G,310260,MetroPCS,LTE,310260,
LTE:11698694:26:310:260:22592,2018-10-02 21:53:35+00:00,-118.0,Download,LGE,LM-X210(G),26.46714973449707,77.69999694824219,40.7587423,22.093000411987305,-73.988625,0.0,4G,310260,MetroPCS,LTE,310260,
LTE:11698694:26:310:260:22592,2018-10-02 23:57:12+00:00,-106.0,Download,LGE,LM-X210(G),7.077428817749023,113.0999984741211,40.7587154,21.16200065612793,-73.9885829,0.0,4G,310260,MetroPCS,LTE,310260,
LTE:11698694:26:310:260:22592,2018-10-02 23:57:13+00:00,-106.0,Upload,LGE,LM-X210(G),7.130217552185059,131.60000610351562,40.7587154,21.16200065612793,-73.9885829,0.0,4G,310260,MetroPCS,LTE,310260,
